ts,open,high,low,close,volume
1767712200000,141.99,142.09,141.48,141.95,19955.75
1767712500000,141.99,142.7,141.99,142.41,46585.57
1767712800000,142.4,143.06,142.34,143.06,56541.61
1767713100000,143.05,143.15,142.73,143.06,60437.23
1767713400000,143.07,143.2,142.7,142.94,35072.7
1767713700000,142.94,143.04,141.85,141.86,53175.78
1767714000000,141.86,141.99,141.26,141.87,34075.53
1767714300000,141.84,142.33,141.54,141.95,24677.07
1767714600000,142.0,142.01,141.21,141.37,25950.57
1767714900000,141.36,141.62,141.14,141.61,20490.45
1767715200000,141.61,141.96,141.56,141.68,29007.37
1767715500000,141.71,141.72,140.53,140.58,67267.31
1767715800000,140.59,141.01,140.57,140.67,64634.81
1767716100000,140.68,140.82,140.55,140.61,15062.61
1767716400000,140.62,140.62,140.15,140.33,54790.05
1767716700000,140.33,140.34,139.36,139.42,88567.19
1767717000000,139.4,139.74,138.97,139.22,43565.18
1767717300000,139.24,139.33,138.91,139.06,19212.08
1767717600000,139.03,139.16,138.18,138.56,21590.99
1767717900000,138.55,138.67,138.23,138.61,44232.31
1767718200000,138.62,139.14,138.57,139.0,11102.25
1767718500000,138.97,139.05,138.64,138.9,7029.64
1767718800000,138.89,138.99,138.55,138.9,12081.5
1767719100000,138.92,139.16,138.75,138.76,11819.13
1767719400000,138.79,138.84,138.47,138.48,14623.69
1767719700000,138.5,138.61,137.79,137.95,35207.39
1767720000000,137.94,138.17,137.85,138.16,15722.06
1767720300000,138.16,138.5,138.16,138.36,7467.17
1767720600000,138.37,138.62,138.19,138.51,2981.13
1767720900000,138.51,138.78,138.31,138.71,4311.26
1767721200000,138.7,138.7,137.85,138.06,20395.09
1767721500000,138.06,138.07,136.98,137.05,102758.0
1767721800000,137.05,137.44,137.04,137.04,19811.86
1767722100000,137.03,137.03,136.41,136.55,86628.22
1767722400000,136.55,137.32,136.15,137.16,62239.55
1767722700000,137.17,137.58,136.98,137.5,16098.95
1767723000000,137.51,137.66,137.37,137.47,18592.61
1767723300000,137.46,137.99,137.36,137.66,9121.17
1767723600000,137.66,137.76,137.19,137.37,24090.22
1767723900000,137.4,137.6,137.09,137.46,8887.43
1767724200000,137.43,137.76,137.37,137.62,4348.61
1767724500000,137.65,137.79,137.36,137.41,3143.8
1767724800000,137.41,137.54,137.35,137.36,1541.44
1767725100000,137.4,137.89,137.4,137.72,36517.22
1767725400000,137.7,137.87,137.56,137.76,12720.16
1767725700000,137.76,137.77,137.52,137.55,14228.0
1767726000000,137.56,137.63,137.43,137.57,7542.82
1767726300000,137.56,137.86,137.56,137.84,7509.42
1767726600000,137.83,138.03,137.7,137.99,7370.02
1767726900000,137.99,138.04,137.78,137.83,6427.24
1767727200000,137.82,137.83,137.68,137.77,2828.17
1767727500000,137.76,137.96,137.62,137.82,4093.9
1767727800000,137.85,137.94,137.74,137.8,1828.8
1767728100000,137.78,137.78,137.34,137.46,31134.35
1767728400000,137.46,137.49,137.31,137.38,2247.54
1767728700000,137.4,137.62,137.4,137.59,2204.49
1767729000000,137.58,137.58,137.37,137.41,2388.97
1767729300000,137.41,137.57,137.4,137.54,2065.63
1767729600000,137.53,138.25,137.51,138.24,10737.57
1767729900000,138.25,138.42,138.09,138.1,13630.76
1767730200000,138.13,138.2,137.94,138.2,4358.75
1767730500000,138.19,138.41,138.17,138.38,20679.24
1767730800000,138.39,138.57,138.35,138.55,10354.39
1767731100000,138.54,138.58,138.49,138.51,2700.52
1767731400000,138.52,138.81,138.47,138.76,40142.45
1767731700000,138.77,138.91,138.77,138.84,28857.58
1767732000000,138.84,139.02,138.84,138.95,18256.82
1767732300000,138.95,139.02,138.89,138.91,8626.4
1767732600000,138.92,139.0,138.81,138.96,6621.59
1767732900000,138.96,139.12,138.89,138.91,15453.63
1767733200000,138.9,139.08,138.81,138.85,10623.38
1767733500000,138.83,138.86,138.65,138.71,12556.2
1767733800000,138.72,139.73,138.72,139.63,41663.15
1767734100000,139.64,141.55,139.6,141.23,77619.99
1767734400000,141.24,141.48,140.85,141.17,75137.09
1767734700000,141.1,141.23,140.92,141.16,32922.72
1767735000000,141.16,141.96,141.16,141.95,38646.42
1767735300000,141.94,141.97,141.08,141.08,17527.81
1767735600000,141.07,141.35,141.05,141.22,10108.19
1767735900000,141.27,141.34,140.52,140.64,24398.05
1767736200000,140.65,140.65,140.25,140.52,25394.62
1767736500000,140.5,140.56,140.22,140.22,5467.19
1767736800000,140.21,140.78,140.19,140.71,8018.6
1767737100000,140.73,140.95,140.56,140.78,12603.91
1767737400000,140.78,140.78,140.26,140.26,15755.68
1767737700000,140.29,140.48,139.74,139.77,66694.8
1767738000000,139.78,140.06,139.68,140.06,8615.69
1767738300000,140.05,140.19,139.88,139.97,13706.16
1767738600000,139.99,140.06,139.8,139.81,2110.67
1767738900000,139.82,139.86,139.51,139.64,11114.94
1767739200000,139.69,139.79,139.53,139.7,2755.32
1767739500000,139.71,140.09,139.69,140.06,2220.7
1767739800000,140.05,140.14,139.86,140.01,28655.61
1767740100000,140.01,140.1,139.97,140.02,1944.41
1767740400000,140.02,140.4,140.02,140.39,5621.73
1767740700000,140.4,140.96,140.3,140.95,18389.3
1767741000000,140.96,141.06,140.83,140.89,15827.22
1767741300000,140.92,141.18,140.87,140.97,5375.03
1767741600000,140.96,141.04,140.57,140.57,11672.73
1767741900000,140.58,140.96,140.55,140.9,5966.8
1767742200000,140.89,141.04,140.75,140.94,3472.36
1767742500000,140.94,141.21,140.94,141.08,3471.46
1767742800000,141.08,141.1,141.0,141.04,10650.37
1767743100000,141.03,141.3,140.98,141.05,4388.66
1767743400000,141.06,141.27,141.06,141.16,6271.63
1767743700000,141.17,141.21,141.0,141.06,2074.22
1767744000000,141.06,141.13,140.76,140.92,10508.07
1767744300000,140.95,141.05,140.69,140.91,3030.51
1767744600000,140.91,141.05,140.83,140.96,13363.04
1767744900000,140.96,141.11,140.74,140.95,6768.08
1767745200000,140.94,141.31,140.87,140.97,12525.44
1767745500000,140.97,141.0,140.79,140.79,6780.98
1767745800000,140.79,140.83,140.46,140.67,18566.32
1767746100000,140.68,140.96,140.65,140.83,11720.6
1767746400000,140.83,140.9,140.61,140.7,9984.16
1767746700000,140.68,140.72,140.34,140.35,12827.57
1767747000000,140.36,140.48,140.28,140.29,16906.66
1767747300000,140.28,140.49,139.76,139.85,5391.48
1767747600000,139.85,140.35,139.79,140.31,28118.29
1767747900000,140.31,140.63,140.13,140.44,5914.93
